#Codigo;posX;posY;sizeX;sizeY;tileSetColuna;tileSetLinha
121;496;1584;32;32;14;0
122;528;1584;32;32;14;0
123;560;1584;32;32;14;0
124;592;1584;32;32;14;0
125;624;1584;32;32;14;0
126;16;1552;32;32;14;0
127;16;1520;32;32;14;0
128;16;1488;32;32;14;0
129;16;1456;32;32;14;0
130;16;1424;32;32;14;0
131;16;1392;32;32;14;0
132;16;1360;32;32;14;0
133;16;1328;32;32;14;0
134;16;1296;32;32;14;0
135;16;1264;32;32;14;0
136;16;1232;32;32;14;0
137;16;1200;32;32;14;0
138;16;1168;32;32;14;0
139;16;1136;32;32;14;0
140;16;1104;32;32;14;0
141;16;1072;32;32;14;0
142;16;1040;32;32;14;0
143;16;1008;32;32;14;0
144;16;976;32;32;14;0
145;16;944;32;32;14;0
146;208;48;32;32;14;0
147;208;80;32;32;14;0
148;208;112;32;32;14;0
149;208;144;32;32;14;0
150;208;176;32;32;14;0
151;208;208;32;32;14;0
152;208;240;32;32;14;0
153;208;272;32;32;14;0
154;208;304;32;32;14;0
155;208;336;32;32;14;0
156;208;368;32;32;14;0
157;208;400;32;32;14;0
158;208;432;32;32;14;0
159;208;464;32;32;14;0
160;656;16;32;32;14;0
161;688;16;32;32;14;0
162;720;16;32;32;14;0
163;752;16;32;32;14;0
164;784;16;32;32;14;0
165;816;16;32;32;14;0
166;848;16;32;32;14;0
167;880;16;32;32;14;0
168;912;16;32;32;14;0
169;944;16;32;32;14;0
170;16;688;32;32;14;0
171;16;720;32;32;14;0
172;16;752;32;32;14;0
173;16;784;32;32;14;0
174;16;816;32;32;14;0
175;16;848;32;32;14;0
176;16;880;32;32;14;0
177;16;912;32;32;14;0
178;656;1584;32;32;14;0
179;688;1584;32;32;14;0
180;720;1584;32;32;14;0
181;752;1584;32;32;14;0
182;784;1584;32;32;14;0
183;816;1584;32;32;14;0
184;848;1584;32;32;14;0
185;880;1584;32;32;14;0
186;912;1584;32;32;14;0
187;944;1584;32;32;14;0
188;1392;1552;32;32;14;0
189;1392;1520;32;32;14;0
190;1392;1488;32;32;14;0
191;1392;1456;32;32;14;0
192;1392;1424;32;32;14;0
193;208;496;32;32;14;0
194;208;528;32;32;14;0
195;208;560;32;32;14;0
196;208;592;32;32;14;0
197;208;624;32;32;14;0
198;208;656;32;32;14;0
199;208;688;32;32;14;0
200;208;720;32;32;14;0
201;208;752;32;32;14;0
202;208;784;32;32;14;0
203;208;816;32;32;14;0
204;208;848;32;32;14;0
205;208;880;32;32;14;0
206;208;912;32;32;14;0
207;208;944;32;32;14;0
208;208;976;32;32;14;0
209;208;1008;32;32;14;0
210;208;1040;32;32;14;0
211;208;1072;32;32;14;0
212;208;1104;32;32;14;0
213;208;1136;32;32;14;0
214;208;1168;32;32;14;0
215;208;1200;32;32;14;0
216;1584;912;32;32;14;0
217;1584;880;32;32;14;0
218;1584;848;32;32;14;0
219;1584;816;32;32;14;0
220;1584;784;32;32;14;0
221;1584;752;32;32;14;0
222;1584;720;32;32;14;0
223;1552;208;32;32;14;0
224;1520;208;32;32;14;0
225;1488;208;32;32;14;0
226;1456;208;32;32;14;0
227;1424;208;32;32;14;0
228;1392;208;32;32;14;0
229;1360;208;32;32;14;0
230;1328;208;32;32;14;0
231;1296;208;32;32;14;0
232;1264;208;32;32;14;0
233;1232;208;32;32;14;0
234;1200;208;32;32;14;0
235;1168;208;32;32;14;0
236;1136;208;32;32;14;0
237;1104;208;32;32;14;0
238;1072;208;32;32;14;0
239;1040;208;32;32;14;0
240;1008;208;32;32;14;0
241;976;208;32;32;14;0
242;944;208;32;32;14;0
243;912;208;32;32;14;0
244;880;208;32;32;14;0
245;848;208;32;32;14;0
246;816;208;32;32;14;0
247;784;208;32;32;14;0
248;752;208;32;32;14;0
249;720;208;32;32;14;0
250;688;208;32;32;14;0
251;656;208;32;32;14;0
252;624;208;32;32;14;0
253;592;208;32;32;14;0
254;560;208;32;32;14;0
255;528;208;32;32;14;0
256;496;208;32;32;14;0
257;464;208;32;32;14;0
258;432;208;32;32;14;0
259;208;1232;32;32;14;0
260;208;1264;32;32;14;0
261;208;1296;32;32;14;0
262;208;1328;32;32;14;0
263;1392;1392;32;32;14;0
264;1392;1360;32;32;14;0
265;1392;1328;32;32;14;0
266;1392;1296;32;32;14;0
267;1392;1264;32;32;14;0
268;1392;1232;32;32;14;0
269;1392;1200;32;32;14;0
270;1392;1168;32;32;14;0
271;1392;1136;32;32;14;0
272;1392;1104;32;32;14;0
273;1392;1072;32;32;14;0
274;1392;1040;32;32;14;0
275;1392;1008;32;32;14;0
276;1392;976;32;32;14;0
277;1392;944;32;32;14;0
278;1392;912;32;32;14;0
279;1392;880;32;32;14;0
280;1392;848;32;32;14;0
281;1392;816;32;32;14;0
282;1392;784;32;32;14;0
283;1392;752;32;32;14;0
284;1392;720;32;32;14;0
285;1392;688;32;32;14;0
286;1392;656;32;32;14;0
287;1392;624;32;32;14;0
288;1392;592;32;32;14;0
289;1392;560;32;32;14;0
290;1392;528;32;32;14;0
291;1392;496;32;32;14;0
292;1392;464;32;32;14;0
293;1392;432;32;32;14;0
-1;800;800;20;20;0;0
